theorem_name,node_id,parent_id,node_type,state_text,tactic,step_logprob,cumulative_logprob,depth,ppl,order_of_expansion,error_message,path_from_root,on_success_path
Algebra.map_leftMulMatrix_localization,0,,InternalNode,"R : Type u_1
S : Type u_2
inst✝¹⁴ : CommRing R
inst✝¹³ : CommRing S
inst✝¹² : Algebra R S
Rₘ : Type u_3
Sₘ : Type u_4
inst✝¹¹ : CommRing Rₘ
inst✝¹⁰ : Algebra R Rₘ
inst✝⁹ : CommRing Sₘ
inst✝⁸ : Algebra S Sₘ
M : Submonoid R
inst✝⁷ : IsLocalization M Rₘ
inst✝⁶ : IsLocalization (algebraMapSubmonoid S M) Sₘ
inst✝⁵ : Algebra Rₘ Sₘ
inst✝⁴ : Algebra R Sₘ
inst✝³ : IsScalarTower R Rₘ Sₘ
inst✝² : IsScalarTower R S Sₘ
ι : Type u_5
inst✝¹ : Fintype ι
inst✝ : DecidableEq ι
b : Basis ι R S
a : S
⊢ (algebraMap R Rₘ).mapMatrix ((leftMulMatrix b) a) =
    (leftMulMatrix (Basis.localizationLocalization Rₘ M Sₘ b)) ((algebraMap S Sₘ) a)",,0.0,0.0,0,,1,,[],False
Algebra.map_leftMulMatrix_localization,1,0.0,ErrorNode,,-- We need to show that the matrix representation of the left multiplication by `a` in `S` is the same as the matrix representation of the left multiplication by `algebraMap S Sₘ a` in `Sₘ`.,-0.2247363105416298,-0.2247363105416298,1,1.2519925354276336,-1,<stdin>:1:190: unexpected end of input,[0],False
Algebra.map_leftMulMatrix_localization,2,0.0,ErrorNode,,The goal is to show that the image of the matrix representing left multiplication by `a` in `S` under the map `(algebraMap R Rₘ).mapMatrix` is equal to the matrix representing left multiplication by `(algebraMap S Sₘ) a` in `Sₘ`.,-0.2293408295464894,-0.2293408295464894,1,1.257770651364505,-1,<stdin>:1:1: unknown tactic,[0],False
Algebra.map_leftMulMatrix_localization,3,0.0,ErrorNode,,-- Use the fact that the algebra map commutes with the left multiplication matrix.,-0.43289206822713217,-0.43289206822713217,1,1.5417098122471307,-1,<stdin>:1:82: unexpected end of input,[0],False
Algebra.map_leftMulMatrix_localization,4,0.0,ErrorNode,,-- The following tactic will simplify the goal using the properties of the algebra and localization.,-0.7489606071920956,-0.7489606071920956,1,2.1148007651621388,-1,<stdin>:1:100: unexpected end of input,[0],False
Algebra.map_leftMulMatrix_localization,5,0.0,InternalNode,"case a
R : Type u_1
S : Type u_2
inst✝¹⁴ : CommRing R
inst✝¹³ : CommRing S
inst✝¹² : Algebra R S
Rₘ : Type u_3
Sₘ : Type u_4
inst✝¹¹ : CommRing Rₘ
inst✝¹⁰ : Algebra R Rₘ
inst✝⁹ : CommRing Sₘ
inst✝⁸ : Algebra S Sₘ
M : Submonoid R
inst✝⁷ : IsLocalization M Rₘ
inst✝⁶ : IsLocalization (algebraMapSubmonoid S M) Sₘ
inst✝⁵ : Algebra Rₘ Sₘ
inst✝⁴ : Algebra R Sₘ
inst✝³ : IsScalarTower R Rₘ Sₘ
inst✝² : IsScalarTower R S Sₘ
ι : Type u_5
inst✝¹ : Fintype ι
inst✝ : DecidableEq ι
b : Basis ι R S
a : S
i j : ι
⊢ (algebraMap R Rₘ).mapMatrix ((leftMulMatrix b) a) i j =
    (leftMulMatrix (Basis.localizationLocalization Rₘ M Sₘ b)) ((algebraMap S Sₘ) a) i j",ext i j,-2.3798828125,-2.3798828125,1,10.803636738565373,2,,[0],False
Algebra.map_leftMulMatrix_localization,6,5.0,InternalNode,"case a
R : Type u_1
S : Type u_2
inst✝¹⁴ : CommRing R
inst✝¹³ : CommRing S
inst✝¹² : Algebra R S
Rₘ : Type u_3
Sₘ : Type u_4
inst✝¹¹ : CommRing Rₘ
inst✝¹⁰ : Algebra R Rₘ
inst✝⁹ : CommRing Sₘ
inst✝⁸ : Algebra S Sₘ
M : Submonoid R
inst✝⁷ : IsLocalization M Rₘ
inst✝⁶ : IsLocalization (algebraMapSubmonoid S M) Sₘ
inst✝⁵ : Algebra Rₘ Sₘ
inst✝⁴ : Algebra R Sₘ
inst✝³ : IsScalarTower R Rₘ Sₘ
inst✝² : IsScalarTower R S Sₘ
ι : Type u_5
inst✝¹ : Fintype ι
inst✝ : DecidableEq ι
b : Basis ι R S
a : S
i j : ι
⊢ (algebraMap R Rₘ) ((leftMulMatrix b) a i j) =
    (leftMulMatrix (Basis.ofIsLocalizedModule Rₘ M (IsScalarTower.toAlgHom R S Sₘ).toLinearMap b)) ((algebraMap S Sₘ) a)
      i j","simp [Basis.localizationLocalization, IsLocalization.map_eq]",-0.3032522766213668,-2.683135089121367,2,3.8250347207619395,3,,"[0, 5]",False
Algebra.map_leftMulMatrix_localization,7,6.0,ErrorNode,,"simp [leftMulMatrix_eq_repr_mul, Basis.ofIsLocalizedModule, IsScalarTower.coe_toAlgHom',",-0.17576397210359573,-2.8588990612249625,3,2.5933911762542103,-1,<stdin>:1:88: unexpected end of input; expected ']',"[0, 5, 6]",False
Algebra.map_leftMulMatrix_localization,8,6.0,InternalNode,"case a
R : Type u_1
S : Type u_2
inst✝¹⁴ : CommRing R
inst✝¹³ : CommRing S
inst✝¹² : Algebra R S
Rₘ : Type u_3
Sₘ : Type u_4
inst✝¹¹ : CommRing Rₘ
inst✝¹⁰ : Algebra R Rₘ
inst✝⁹ : CommRing Sₘ
inst✝⁸ : Algebra S Sₘ
M : Submonoid R
inst✝⁷ : IsLocalization M Rₘ
inst✝⁶ : IsLocalization (algebraMapSubmonoid S M) Sₘ
inst✝⁵ : Algebra Rₘ Sₘ
inst✝⁴ : Algebra R Sₘ
inst✝³ : IsScalarTower R Rₘ Sₘ
inst✝² : IsScalarTower R S Sₘ
ι : Type u_5
inst✝¹ : Fintype ι
inst✝ : DecidableEq ι
b : Basis ι R S
a : S
i j : ι
⊢ (algebraMap R Rₘ) ((b.repr (a * b j)) i) = (⋯.repr ⟨(algebraMap S Sₘ) a * (algebraMap S Sₘ) (b j), ⋯⟩) i","simp [leftMulMatrix_eq_repr_mul, Basis.ofIsLocalizedModule, IsScalarTower.coe_toAlgHom']",-0.19126690179109573,-2.8744019909124625,3,2.6068275839864086,4,,"[0, 5, 6]",False
Algebra.map_leftMulMatrix_localization,9,8.0,ErrorNode,,"simp [Basis.constr_apply, Algebra.smul_def, mul_assoc, mul_comm, mul_left_comm]",-0.3117338034414476,-3.18613579435391,4,2.217840442065945,-1,simp made no progress,"[0, 5, 6, 8]",False
